"nacimiento","genero","industria","sector","nucleo","em_fom_remoto","em_fom_camb_remoto","t_dez_remoto","t_casa","t_familia","t_remoto_3meses","t_pref_remoto_3meses","h_trabajo_remoto"
"1996","2","7","31","1","1","2","0.5","3","5","0.8","0.8","8.5"
"1996","2","7","12","7","1","1","2","3","6","1","1","4"
"1974","2","8","4","1","1","2","0.5","3","5.5","0.05","0.5","8"
"1969","1","18","5","1","2","2","0","3","4","0.9","0.9","9"
"2000","2","14","27","5","4","4","0","3","6","0.8","0.8","8"
"1987","2","8","27","1","2","4","0","8","2","0","0.2","8"
"1961","2","8","31","7","2","2","0.5","1","4.5","1","1","10"
"1969","1","10","31","1","2","2","0","5","5","1","1","7.5"
"1985","2","9","32","1","5","5","0.5","3","5.5","0.6","0.8","8"
"1986","1","14","36","1","1","3","2","2","2","1","1","10"
"1975","2","9","25","7","5","5","8","1","8","0.5","0.5","2"
"1995","1","8","6","1","3","1","4","4","5","0.2","0.2","6"
"1960","2","8","5","7","4","4","0","1.5","5.5","1","1","11"
"1989","1","8","34","2","1","1","1","2","2","0.5","0.5","12"
"1985","1","17","10","1","2","2","0","0","0","0.5","1","24"
"1965","1","14","31","2","1","1","0.5","3","6.5","0.5","0.2","6"
"1973","1","5","25","1","4","4","0","3","5","1","1","8"
"1967","1","10","31","1","2","2","1","3","4","0.5","0.5","9"
"1958","1","10","31","1","1","5","0","4","2.5","1","1","9"
"1957","1","13","2","2","1","1","1","4","3","0.05","0","8"
"1999","2","8","27","7","3","1","1","5","3","0","0.2","7"
"1987","2","8","27","1","4","4","0.5","4","4","1","0.9","8"
"1992","1","19","2","6","2","4","0.5","2","3.5","1","1","9"
"1983","2","8","25","2","3","2","0.5","1","6.5","0.9","1","8"
"1967","2","14","31","2","1","1","0","3","4","1","1","9"
"1982","1","17","27","2","1","2","0.5","1.5","5.5","0.9","0.7","8.5"
"1977","2","14","32","7","1","1","0","4","4","1","1","8"
"1966","2","14","25","5","1","1","0","3","3","1","0.6","10"
"1976","2","2","7","7","5","5","0","2","7","0.2","0.5","8"
"1971","2","6","14","1","5","5","0","1","5","1","1","6"
"1969","1","11","31","1","1","2","0","2","6","0.8","0.6","10"
"2000","1","6","29","3","1","1","2","3","4","0","0","7"
"1958","2","8","31","2","4","1","0","2","5","1","1","9"
"1977","2","15","6","7","3","3","0","4","5","0.5","0.5","7"
"1963","1","19","25","2","1","2","0","0","8","0.4","0.4","8"
"1986","1","17","27","1","4","2","0.5","0","7.5","0.8","0.5","8"
"1991","1","17","29","2","1","2","0","1","6","0.9","1","10"
"1963","2","13","6","1","2","2","1","5","4","0.5","0","8"
"1965","2","8","27","2","2","2","0.5","3","3","1","1","9.5"
"1993","2","6","29","2","1","2","0.5","3","4","0","0.5","9"
"1960","2","9","5","2","3","1","0.5","4","5","0.1","0.1","8"
"1974","2","6","29","2","1","2","0","3","5","0.05","0.2","10"
"1969","2","13","26","7","1","1","0","2","5","1","1","9"
"1976","2","8","27","2","3","2","0","3","4","0.6","0.9","9"
"1989","2","2","6","3","2","4","0","2","3","1","1","9"
"1995","1","14","28","3","1","1","0","4","3","0.5","0.5","9"
"1961","2","1","24","2","3","2","0","2","2","0.3","0.3","12"
"1957","2","6","29","2","1","2","1","4","6","1","0.9","6"
"1988","4","10","32","3","3","3","0","2","5","0.1","0.3","9"
"1996","2","16","27","4","3","1","0","2","4.5","0.4","0.2","7.5"
"1990","2","6","26","3","2","2","0","2","6","0.8","0.9","8"
"1973","2","14","22","2","3","1","0","2.5","6.5","1","1","7"
"1957","2","6","29","2","5","5","2","5","7","1","0","2"
"1993","1","10","39","4","1","1","0.5","1","6.5","1","1","8"
"1978","2","6","29","7","5","5","1","2","4.5","0.2","0.4","9"
"1968","2","13","2","4","1","1","0.5","3","5","1","1","7"
"1957","2","1","24","2","3","2","1","3","4","0.2","0.3","9"
"1961","2","2","25","2","1","2","0","2","6","0.5","0.2","8"
"1993","1","10","27","3","4","4","1","3","5","1","1","8"
"1964","2","8","27","7","1","2","1","2","4","0.8","0.6","10"
"1966","1","7","34","1","1","1","0","0","2","0.5","0.5","8"
"1995","1","17","27","3","1","1","0.5","3","4.5","0.5","0.4","8"
"1986","1","11","28","3","1","1","0.5","2","5.5","0.8","0.5","8"
"1963","2","13","25","2","1","4","1","3","4","0","0","8"
"1961","2","6","29","7","5","5","0","2","5","0","0","9"
"1982","2","15","25","6","1","1","0","3","3","1","1","10"
"1976","2","4","25","1","4","4","0","4","4.5","1","1","7.5"
"1964","1","17","34","2","4","4","1","4","5","1","1","6"
"1994","1","9","8","7","1","1","0.5","3","6","0.05","0","8"
"1962","2","18","31","7","2","2","0.5","2","5","0.8","0.8","8.5"
